,price,carrier,start_date,end_date,total_stops,dep_time_outbound,dep_time_inbound,duration_outbound,duration_inbound,from,to,day_of_week,outbound_duration_minutes,inbound_duration_minutes,time_of_day_outbound,time_of_day_inbound,day_of_year,month_number,day_of_month,month_number_end,day_of_month_end
276275,1379,KLM,2024-06-20,2024-06-27,1,8:50 PM,11:45 PM,14h 55m, 12h 40m,AMS,KUL,3,895.0,760.0,Morning,Morning,172,6,20,6,27
276276,1399,KLM,2024-06-20,2024-06-27,1,8:50 PM,11:45 PM,14h 50m, 12h 40m,AMS,KUL,3,890.0,760.0,Morning,Morning,172,6,20,6,27
276277,1430,KLM,2024-06-20,2024-06-27,1,5:05 PM,11:45 PM,15h 10m, 12h 40m,AMS,KUL,3,910.0,760.0,Morning,Morning,172,6,20,6,27
276278,1431,Singapore Airlines,2024-06-20,2024-06-27,2,11:15 AM,9:45 PM,14h 50m, 15h 30m,AMS,KUL,3,890.0,930.0,Morning,Morning,172,6,20,6,27
276279,6260,Multiple Airlines,2024-06-20,2024-06-27,2,11:15 AM,2:55 PM,14h 50m, 22h 45m,AMS,KUL,3,890.0,1365.0,Morning,Early Morning,172,6,20,6,27
276280,751,Etihad,2024-06-21,2024-06-28,2,9:45 PM,9:25 AM,16h 25m, 15h 45m,AMS,KUL,4,985.0,945.0,Morning,Morning,173,6,21,6,28
276281,751,Etihad,2024-06-21,2024-06-28,2,9:45 PM,9:25 AM,28h 20m, 15h 45m,AMS,KUL,4,1700.0,945.0,Morning,Morning,173,6,21,6,28
276282,761,Etihad,2024-06-21,2024-06-28,2,9:45 PM,9:35 PM,16h 25m, 27h 35m,AMS,KUL,4,985.0,1655.0,Morning,Morning,173,6,21,6,28
276283,761,Etihad,2024-06-21,2024-06-28,2,9:45 PM,9:35 PM,28h 20m, 27h 35m,AMS,KUL,4,1700.0,1655.0,Morning,Morning,173,6,21,6,28
276284,773,Etihad,2024-06-21,2024-06-28,2,9:45 PM,9:25 AM,40h 25m, 15h 45m,AMS,KUL,4,2425.0,945.0,Morning,Morning,173,6,21,6,28
276285,783,Etihad,2024-06-21,2024-06-28,2,9:45 PM,9:35 PM,40h 25m, 27h 35m,AMS,KUL,4,2425.0,1655.0,Morning,Morning,173,6,21,6,28
276286,1029,Etihad,2024-06-21,2024-06-28,3,9:45 PM,9:35 PM,16h 25m, 21h 0m,AMS,KUL,4,985.0,1260.0,Morning,Morning,173,6,21,6,28
276287,798,Turkish Airlines,2024-06-21,2024-06-28,2,2:35 PM,8:45 AM,20h 15m, 19h 0m,AMS,KUL,4,1215.0,1140.0,Early Morning,Morning,173,6,21,6,28
276288,798,Turkish Airlines,2024-06-21,2024-06-28,2,2:35 PM,8:45 AM,34h 30m, 19h 0m,AMS,KUL,4,2070.0,1140.0,Early Morning,Morning,173,6,21,6,28
276289,798,Turkish Airlines,2024-06-21,2024-06-28,2,2:35 PM,11:05 PM,20h 15m, 20h 5m,AMS,KUL,4,1215.0,1205.0,Early Morning,Morning,173,6,21,6,28
276290,798,Turkish Airlines,2024-06-21,2024-06-28,2,2:35 PM,11:05 PM,20h 15m, 23h 35m,AMS,KUL,4,1215.0,1415.0,Early Morning,Morning,173,6,21,6,28
276291,798,Turkish Airlines,2024-06-21,2024-06-28,2,2:35 PM,11:05 PM,34h 30m, 20h 5m,AMS,KUL,4,2070.0,1205.0,Early Morning,Morning,173,6,21,6,28
276292,798,Turkish Airlines,2024-06-21,2024-06-28,2,2:35 PM,11:05 PM,34h 30m, 23h 35m,AMS,KUL,4,2070.0,1415.0,Early Morning,Morning,173,6,21,6,28
276293,798,Turkish Airlines,2024-06-21,2024-06-28,2,6:15 PM,8:45 AM,16h 35m, 19h 0m,AMS,KUL,4,995.0,1140.0,Morning,Morning,173,6,21,6,28
276294,798,Turkish Airlines,2024-06-21,2024-06-28,2,6:15 PM,8:45 AM,30h 50m, 19h 0m,AMS,KUL,4,1850.0,1140.0,Morning,Morning,173,6,21,6,28
276295,798,Turkish Airlines,2024-06-21,2024-06-28,2,6:15 PM,11:05 PM,16h 35m, 20h 5m,AMS,KUL,4,995.0,1205.0,Morning,Morning,173,6,21,6,28
276296,798,Turkish Airlines,2024-06-21,2024-06-28,2,6:15 PM,11:05 PM,16h 35m, 23h 35m,AMS,KUL,4,995.0,1415.0,Morning,Morning,173,6,21,6,28
